task_id,task_description,occupation,soc_code,rag_capability,accel_pct,employment,hourly_wage,task_share,annual_impact_usd
933,"Direct and coordinate activities of businesses or departments concerned with the production, pricing...",General and Operations Managers,11-1021,Tier1_Knowledge,30%,3584420,49.5,0.0588,6512680292
20700,Direct administrative activities directly related to making products or providing services....,General and Operations Managers,11-1021,Tier1_Knowledge,30%,3584420,49.5,0.0588,6512680292
944,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inven...",General and Operations Managers,11-1021,Tier1_Knowledge,30%,3584420,49.5,0.0588,6512680292
945,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotio...",General and Operations Managers,11-1021,Tier1_Knowledge,30%,3584420,49.5,0.0588,6512680292
947,"Direct non-merchandising departments of businesses, such as advertising or purchasing....",General and Operations Managers,11-1021,Tier1_Knowledge,30%,3584420,49.5,0.0588,6512680292
21679,Train users to use new or modified equipment....,Software Developers,15-1252,Tier1_Knowledge,30%,1654440,63.98,0.0588,3885356966
17312,"Teach classes in mental health topics, such as stress reduction....",Advanced Practice Psychiatric Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0417,3839951700
17320,"Refer patients requiring more specialized or complex treatment to psychiatrists, primary care physic...",Advanced Practice Psychiatric Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0417,3839951700
17330,Consult with psychiatrists or other professionals when unusual or complex cases are encountered....,Advanced Practice Psychiatric Nurses,29-1141,Tier1_Writing,30%,3282010,45.0,0.0417,3839951700
17313,"Participate in activities aimed at professional growth and development, including conferences or con...",Advanced Practice Psychiatric Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0417,3839951700
17325,Develop and implement treatment plans....,Advanced Practice Psychiatric Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0417,3839951700
17334,Diagnose psychiatric disorders and mental health conditions....,Advanced Practice Psychiatric Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0417,3839951700
17323,"Interpret diagnostic or laboratory tests, such as electrocardiograms (EKGs) and renal functioning te...",Advanced Practice Psychiatric Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0417,3839951700
17333,"Administer medications, including those administered by injection....",Advanced Practice Psychiatric Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0417,3839951700
17314,Direct or provide home health services....,Advanced Practice Psychiatric Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0417,3839951700
17322,Participate in treatment team conferences regarding diagnosis or treatment of difficult cases....,Advanced Practice Psychiatric Nurses,29-1141,Tier1_Writing,30%,3282010,45.0,0.0417,3839951700
18565,"Confer with customers by telephone or in person to provide information about products or services, t...",Customer Service Representatives,43-4051,Tier1_Good,40%,2725930,20.59,0.0769,3592121517
1849,"Assess the needs of individuals, families, or communities, including assessment of individuals' home...",Registered Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.037,3413290400
1854,"Administer local, inhalation, intravenous, or other anesthetics....",Registered Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.037,3413290400
1846,Direct or supervise less-skilled nursing or healthcare personnel or supervise a particular unit....,Registered Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.037,3413290400
1857,Conduct specified laboratory tests....,Registered Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.037,3413290400
18322,Participate in the development of practice protocols....,Acute Care Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.037,3413290400
18317,Assist patients in organizing their health care system activities....,Acute Care Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.037,3413290400
18313,Participate in patients' care meetings and conferences....,Acute Care Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.037,3413290400
18323,"Perform administrative duties that facilitate admission, transfer, or discharge of patients....",Acute Care Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.037,3413290400
18307,Discuss illnesses and treatments with patients and family members....,Acute Care Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.037,3413290400
1866,Engage in research activities related to nursing....,Registered Nurses,29-1141,Tier1_Partial,30%,3282010,45.0,0.037,3413290400
1852,Inform physician of patient's condition during anesthesia....,Registered Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.037,3413290400
1864,Consult with institutions or associations regarding issues or concerns relevant to the practice and ...,Registered Nurses,29-1141,Tier1_Writing,30%,3282010,45.0,0.037,3413290400
18304,"Adjust settings on patients' assistive devices, such as temporary pacemakers....",Acute Care Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.037,3413290400
18315,Refer patients for specialty consultations or treatments....,Acute Care Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.037,3413290400
1863,Refer students or patients to specialized health resources or community agencies furnishing assistan...,Registered Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.037,3413290400
18324,Provide formal and informal education to other staff members....,Acute Care Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.037,3413290400
18347,Identify malfunctioning equipment or devices....,Critical Care Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0345,3177891062
18338,Collect specimens for laboratory tests....,Critical Care Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0345,3177891062
18330,"Administer medications intravenously, by injection, orally, through gastric tubes, or by other metho...",Critical Care Nurses,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0345,3177891062
18009,Develop or assist others in development of care and treatment plans....,Clinical Nurse Specialists,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0333,3071961360
18007,"Develop nursing service philosophies, goals, policies, priorities, or procedures....",Clinical Nurse Specialists,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0333,3071961360
18012,Present clients with information required to make informed health care and treatment decisions....,Clinical Nurse Specialists,29-1141,Tier1_Knowledge,30%,3282010,45.0,0.0333,3071961360
