task_id,task_description,occupation,soc_code,agent_capability,software_replaced,accel_pct,employment,hourly_wage,task_share,annual_impact_usd
948,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilitie...",General and Operations Managers,11-1021,Tier2_Excellent,Python automation,80%,3584420,49.5,0.0588,17367147445
20699,"Review financial statements, sales or activity reports, or other performance data to measure product...",General and Operations Managers,11-1021,Tier2_Excellent,"Excel/Sheets, Word/Docs",80%,3584420,49.5,0.0588,17367147445
20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or inc...",General and Operations Managers,11-1021,Tier2_Excellent,Python automation,80%,3584420,49.5,0.0588,17367147445
949,Plan store layouts or design displays....,General and Operations Managers,11-1021,Tier2_Good,Design,60%,3584420,49.5,0.0588,13025360584
19501,Implement or oversee environmental management or sustainability programs addressing issues such as r...,General and Operations Managers,11-1021,Tier2_Good,Python automation,60%,3584420,49.5,0.0588,13025360584
20707,"Set prices or credit terms for goods or services, based on forecasts of customer demand....",General and Operations Managers,11-1021,Tier2_Good,Python automation,60%,3584420,49.5,0.0588,13025360584
20708,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectivene...",General and Operations Managers,11-1021,Tier2_Good,Python automation,60%,3584420,49.5,0.0588,13025360584
20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services w...,General and Operations Managers,11-1021,Tier2_Good,Python automation,60%,3584420,49.5,0.0588,13025360584
20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with b...",General and Operations Managers,11-1021,Tier2_Knowledge,Python automation,60%,3584420,49.5,0.0588,13025360584
20705,"Perform personnel functions, such as selection, training, or evaluation....",General and Operations Managers,11-1021,Tier2_Knowledge,Python automation,60%,3584420,49.5,0.0588,13025360584
20706,"Plan or direct activities, such as sales promotions, that require coordination with other department...",General and Operations Managers,11-1021,Tier2_Knowledge,Python automation,60%,3584420,49.5,0.0588,13025360584
20701,Prepare staff work schedules and assign specific duties....,General and Operations Managers,11-1021,Tier2_Good,Calendar,60%,3584420,49.5,0.0588,13025360584
21673,"Prepare reports or correspondence concerning project specifications, activities, or status....",Software Developers,15-1252,Tier2_Excellent,"Word/Docs, Email",80%,1654440,63.98,0.0588,10360951910
21667,"Design, develop and modify software systems, using scientific analysis and mathematical models to pr...",Software Developers,15-1252,Tier2_Excellent,Design,80%,1654440,63.98,0.0588,10360951910
21665,"Consult with customers or other departments on project status, proposals, or technical issues, such ...",Software Developers,15-1252,Tier2_Excellent,Design,80%,1654440,63.98,0.0588,10360951910
21663,Confer with data processing or project managers to obtain information on limitations or capabilities...,Software Developers,15-1252,Tier2_Excellent,Excel/Sheets,80%,1654440,63.98,0.0588,10360951910
21677,"Supervise and assign work to programmers, designers, technologists, technicians, or other engineerin...",Software Developers,15-1252,Tier2_Excellent,Design,80%,1654440,63.98,0.0588,10360951910
21672,"Obtain and evaluate information on factors such as reporting formats required, costs, or security ne...",Software Developers,15-1252,Tier2_Excellent,Word/Docs,80%,1654440,63.98,0.0588,10360951910
21664,"Confer with systems analysts, engineers, programmers and others to design systems and to obtain info...",Software Developers,15-1252,Tier2_Excellent,Design,80%,1654440,63.98,0.0588,10360951910
21669,"Develop or direct software system testing or validation procedures, programming, or documentation....",Software Developers,15-1252,Tier2_Excellent,Word/Docs,80%,1654440,63.98,0.0588,10360951910
17329,"Document patients' medical and psychological histories, physical assessment results, diagnoses, trea...",Advanced Practice Psychiatric Nurses,29-1141,Tier2_Excellent,Word/Docs,80%,3282010,45.0,0.0417,10239871200
1865,"Work with individuals, groups, or families to plan or implement programs designed to improve the ove...",Registered Nurses,29-1141,Tier2_Excellent,Design,80%,3282010,45.0,0.037,9102107733
18301,Interpret information obtained from electrocardiograms (EKGs) or radiographs (x-rays)....,Acute Care Nurses,29-1141,Tier2_Excellent,Visualization,80%,3282010,45.0,0.037,9102107733
20416,Design evaluation programs regarding the quality and effectiveness of nursing practice or organizati...,Clinical Nurse Specialists,29-1141,Tier2_Excellent,Design,80%,3282010,45.0,0.0333,8191896960
20417,Design patient education programs that include information required to make informed health care and...,Clinical Nurse Specialists,29-1141,Tier2_Excellent,Design,80%,3282010,45.0,0.0333,8191896960
18021,Write nursing orders....,Clinical Nurse Specialists,29-1141,Tier2_Writing,Word/Docs,80%,3282010,45.0,0.0333,8191896960
21671,Monitor functioning of equipment to ensure system operates in conformance with specifications....,Software Developers,15-1252,Tier2_Good,Python automation,60%,1654440,63.98,0.0588,7770713933
21662,Analyze user needs and software requirements to determine feasibility of design within time and cost...,Software Developers,15-1252,Tier2_Good,Design,60%,1654440,63.98,0.0588,7770713933
21668,Determine system performance standards....,Software Developers,15-1252,Tier2_Knowledge,Python automation,60%,1654440,63.98,0.0588,7770713933
21678,"Supervise the work of programmers, technologists and technicians and other engineering and scientifi...",Software Developers,15-1252,Tier2_Good,Python automation,60%,1654440,63.98,0.0588,7770713933
17331,"Assess patients' mental and physical status, based on the presenting symptoms and complaints....",Advanced Practice Psychiatric Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0417,7679903400
17327,"Educate patients and family members about mental health and medical conditions, preventive health me...",Advanced Practice Psychiatric Nurses,29-1141,Tier2_Knowledge,Python automation,60%,3282010,45.0,0.0417,7679903400
17319,Write prescriptions for psychotropic medications as allowed by state regulations and collaborative p...,Advanced Practice Psychiatric Nurses,29-1141,Tier2_Good,Word/Docs,60%,3282010,45.0,0.0417,7679903400
