task_id,onetsoc_code,occupation,task,task_type,job_zone,rag_retrieval,rag_summarize,rag_qa,rag_compare,rag_translate,agent_compute,agent_code,agent_visual_create,agent_visual_understand,agent_web,agent_browser,agent_calendar,agent_maps,agent_audio,agent_video,agent_reasoning,agent_email,agent_document,agent_data_analysis,analysis_evaluation,planning_development,coordination_management,review_monitoring,training_education,customer_communication,record_keeping,decision_making,writing_complex,writing_simple,communication,physical_primary,physical_knowledge,human_critical,tier,base_accel,software_count,avg_replace_potential,hot_tech_count,software_boost,final_accel,soc_code,OCC_CODE,TOT_EMP,H_MEDIAN,A_MEDIAN,hourly_wage,tasks_per_occ,task_share,annual_labor_value,acceleration_value,gdp_impact
8823,11-1011.00,Chief Executives,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Tier2_Excellent,0.7,49,0.5571428571428572,16,0.1,0.7999999999999999,11-1011,11-1011,211850.0,99.24,206420.0,99.24,31,0.03225806451612903,1410642178.064516,1128513742.4516127,1974899049.2903223
8824,11-1011.00,Chief Executives,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Core,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,Tier2_Knowledge,0.5,49,0.5571428571428572,16,0.1,0.6,11-1011,11-1011,211850.0,99.24,206420.0,99.24,31,0.03225806451612903,1410642178.064516,846385306.8387096,1481174286.9677417
8827,11-1011.00,Chief Executives,"Prepare budgets for approval, including those for funding or implementation of programs.",Core,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tier2_Excellent,0.7,49,0.5571428571428572,16,0.1,0.7999999999999999,11-1011,11-1011,211850.0,99.24,206420.0,99.24,31,0.03225806451612903,1410642178.064516,1128513742.4516127,1974899049.2903223
8826,11-1011.00,Chief Executives,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",Core,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Tier2_Good,0.5,49,0.5571428571428572,16,0.1,0.6,11-1011,11-1011,211850.0,99.24,206420.0,99.24,31,0.03225806451612903,1410642178.064516,846385306.8387096,1481174286.9677417
8834,11-1011.00,Chief Executives,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",Core,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tier2_Excellent,0.7,49,0.5571428571428572,16,0.1,0.7999999999999999,11-1011,11-1011,211850.0,99.24,206420.0,99.24,31,0.03225806451612903,1410642178.064516,1128513742.4516127,1974899049.2903223
8836,11-1011.00,Chief Executives,Implement corrective action plans to solve organizational or departmental problems.,Core,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tier1_Knowledge,0.3,49,0.5571428571428572,16,0.1,0.3,11-1011,11-1011,211850.0,99.24,206420.0,99.24,31,0.03225806451612903,1410642178.064516,423192653.4193548,740587143.4838709
8825,11-1011.00,Chief Executives,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Core,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Tier2_Excellent,0.7,49,0.5571428571428572,16,0.1,0.7999999999999999,11-1011,11-1011,211850.0,99.24,206420.0,99.24,31,0.03225806451612903,1410642178.064516,1128513742.4516127,1974899049.2903223
8828,11-1011.00,Chief Executives,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",Core,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Tier1_Knowledge,0.3,49,0.5571428571428572,16,0.1,0.3,11-1011,11-1011,211850.0,99.24,206420.0,99.24,31,0.03225806451612903,1410642178.064516,423192653.4193548,740587143.4838709
8832,11-1011.00,Chief Executives,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",Core,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,Tier2_Knowledge,0.5,49,0.5571428571428572,16,0.1,0.6,11-1011,11-1011,211850.0,99.24,206420.0,99.24,31,0.03225806451612903,1410642178.064516,846385306.8387096,1481174286.9677417
8831,11-1011.00,Chief Executives,Appoint department heads or managers and assign or delegate responsibilities to them.,Core,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Tier1_Knowledge,0.3,49,0.5571428571428572,16,0.1,0.3,11-1011,11-1011,211850.0,99.24,206420.0,99.24,31,0.03225806451612903,1410642178.064516,423192653.4193548,740587143.4838709
